COMM       PID  SYSCALL_ID ARGS[0]              ARGS[1]              ARGS[2]              ARGS[3]              ARGS[4]              ARGS[5]             
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b''                  b''                  b''                  b''                 
b'bash'    1187966 13         b''                  b''                  b'0\x9b\xe6\xd5\xf7U' b''                  b'0\x9b\xe6\xd5\xf7U' b''                 
b'bash'    1187966 13         b''                  b''                  b'\x01'              b''                  b'\x01'              b''                 
b'bash'    1187966 13         b''                  b''                  b'\x10\x96\xe6\xd5\xf7U' b''                  b'\x10\x96\xe6\xd5\xf7U' b''                 
b'bash'    1187966 59         b'/bin/df'           b'\xf0>\x88\xd6\xf7U' b'\xa0\x8f\x89\xd6\xf7U' b''                  b'\xf0>\x88\xd6\xf7U' b''                 
b'df'      1187966 12         b''                  b'MALLOC_CHECK_'     b''                  b'MALLOC_CHECK_'     b'\x04'              b''                 
b'df'      1187966 158        b''                  b''                  b'\xf3\x0f\x1e\xfaH\x8b\x07f\x818ont2\x818off' b'\x02\x87\xff\xff\xf9\x86\xff\xff-\x87\xff\xff\xf9\x86\xff\xff\x02\x87\xff\xff\x02\x87\xff\xff\xf9\x86\xff\xff\xf9\x86\xff\xff\xf9\x86\xff\xff\xf9\x86\xff\xff\xf9\x86\xff\xff\x02\x87\xff\xff-\x87' b''                  b'\xf6\x05\xdb\x06\x01'
b'df'      1187966 21         b'/etc/ld.so.preload' b''                  b'R\xe5td\x04'       b''                  b''                  b''                 
b'df'      1187966 257        b''                  b'/etc/ld.so.cache'  b''                  b''                  b''                  b'/etc/ld.so.cache' 
